Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,19548","-0,0079371","-0,092787",0,0,0,"0,12449","4,2331E-05","8,2349E-07","-3,8461E-06","9,0357E-05","-9,8697E-08","7,2959E-05",0,0,0,0,0,0,package://cobra/meshes/base_link.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://cobra/meshes/base_link.STL,,MontagemModNovo-1/Tampa desalinhada v3.step-1;MontagemModNovo-1/Corpo v10.step-1;MontagemModNovo-1/MG995.step-1;MontagemModNovo-1/Placa sem atrito.step-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
modulo2,"0,073686","-0,029721","-0,0008313",0,0,0,"0,12449","4,2331E-05","8,2349E-07","-3,8461E-06","9,0357E-05","-9,8697E-08","7,2959E-05",0,0,0,0,0,0,package://cobra/meshes/modulo2.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://cobra/meshes/modulo2.STL,,MontagemModNovo-2/Tampa desalinhada v3.step-1;MontagemModNovo-2/Corpo v10.step-1;MontagemModNovo-2/MG995.step-1;MontagemModNovo-2/Placa sem atrito.step-2,Sistema de coordenadas1,,joint1,revolute,"-0,15473","0,091996","0,021784","1,5708",0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
modulo3,"0,073686","-0,029721","-0,0008313",0,0,0,"0,12449","4,2331E-05","8,2349E-07","-3,8461E-06","9,0357E-05","-9,8697E-08","7,2959E-05",0,0,0,0,0,0,package://cobra/meshes/modulo3.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://cobra/meshes/modulo3.STL,,MontagemModNovo-3/Tampa desalinhada v3.step-1;MontagemModNovo-3/Corpo v10.step-1;MontagemModNovo-3/MG995.step-1;MontagemModNovo-3/Placa sem atrito.step-2,Sistema de coordenadas2,,joint2,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo2,0,1,0,0,0,0,0,,,,,,,,
modulo4,"0,0736864302969557","-0,0297211972454861","-0,000831298567806088",0,0,0,"0,124486089384005","4,23306741017875E-05","8,23488383173284E-07","-3,84610240874935E-06","9,03567329613313E-05","-9,86970187562682E-08","7,29593550442413E-05",0,0,0,0,0,0,package://cobra/meshes/modulo4.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobra/meshes/modulo4.STL,,MontagemModNovo-4/Tampa desalinhada v3.step-1;MontagemModNovo-4/Placa sem atrito.step-2;MontagemModNovo-4/Corpo v10.step-1;MontagemModNovo-4/MG995.step-1,Sistema de coordenadas3,,joint3,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo3,0,1,0,0,0,0,0,,,,,,,,
modulo5,"0,0736864302969558","-0,0297211972454855","-0,000831298567805991",0,0,0,"0,124486089384005","4,23306741017875E-05","8,23488383173303E-07","-3,84610240874932E-06","9,03567329613312E-05","-9,86970187568371E-08","7,2959355044241E-05",0,0,0,0,0,0,package://cobra/meshes/modulo5.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobra/meshes/modulo5.STL,,MontagemModNovo-5/Tampa desalinhada v3.step-1;MontagemModNovo-5/Corpo v10.step-1;MontagemModNovo-5/MG995.step-1;MontagemModNovo-5/Placa sem atrito.step-2,Sistema de coordenadas4,,joint4,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo4,0,1,0,0,0,0,0,,,,,,,,
modulo6,"0,073686","-0,029721","-0,0008313",0,0,0,"0,12449","4,2331E-05","8,2349E-07","-3,8461E-06","9,0357E-05","-9,8697E-08","7,2959E-05",0,0,0,0,0,0,package://cobra/meshes/modulo6.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://cobra/meshes/modulo6.STL,,MontagemModNovo-6/Tampa desalinhada v3.step-1;MontagemModNovo-6/MG995.step-1;MontagemModNovo-6/Corpo v10.step-1;MontagemModNovo-6/Placa sem atrito.step-2,Sistema de coordenadas7,,joint5,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo5,0,1,0,0,0,0,0,,,,,,,,
modulo7,"0,0736864303147165","-0,0297211972561647","-0,000831298559470214",0,0,0,"0,124486089464186","4,23306741091947E-05","8,23488390584288E-07","-3,84610242802216E-06","9,03567330041933E-05","-9,86970132555384E-08","7,29593550761642E-05",0,0,0,0,0,0,package://cobra/meshes/modulo7.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobra/meshes/modulo7.STL,,MontagemModNovo-7/Tampa desalinhada v3.step-1;MontagemModNovo-7/Corpo v10.step-1;MontagemModNovo-7/MG995.step-1;MontagemModNovo-7/Placa sem atrito.step-2,Sistema de coordenadas8,,joint6,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo6,0,1,0,0,0,0,0,,,,,,,,
modulo8,"0,073686430296956","-0,0297211972454852","-0,000831298567805852",0,0,0,"0,124486089384004","4,23306741017869E-05","8,23488383172666E-07","-3,84610240874893E-06","9,03567329613307E-05","-9,86970187562574E-08","7,29593550442411E-05",0,0,0,0,0,0,package://cobra/meshes/modulo8.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobra/meshes/modulo8.STL,,MontagemModNovo-8/Tampa desalinhada v3.step-1;MontagemModNovo-8/MG995.step-1;MontagemModNovo-8/Corpo v10.step-1;MontagemModNovo-8/Placa sem atrito.step-2,Sistema de coordenadas9,,joint7,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo7,0,1,0,0,0,0,0,,,,,,,,
modulo9,"0,073686","-0,029721","-0,0008313",0,0,0,"0,12449","4,2331E-05","8,2349E-07","-3,8461E-06","9,0357E-05","-9,8697E-08","7,2959E-05",0,0,0,0,0,0,package://cobra/meshes/modulo9.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://cobra/meshes/modulo9.STL,,MontagemModNovo-9/Tampa desalinhada v3.step-1;MontagemModNovo-9/Corpo v10.step-1;MontagemModNovo-9/MG995.step-1;MontagemModNovo-9/Placa sem atrito.step-2,Sistema de coordenadas10,,joint8,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo8,0,1,0,0,0,0,0,,,,,,,,
modulo10,"0,073686","-0,029721","-0,0008313",0,0,0,"0,12449","4,2331E-05","8,2349E-07","-3,8461E-06","9,0357E-05","-9,8697E-08","7,2959E-05",0,0,0,0,0,0,package://cobra/meshes/modulo10.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://cobra/meshes/modulo10.STL,,MontagemModNovo-10/Tampa desalinhada v3.step-1;MontagemModNovo-10/Corpo v10.step-1;MontagemModNovo-10/MG995.step-1;MontagemModNovo-10/Placa sem atrito.step-2,Sistema de coordenadas11,,joint9,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo9,0,1,0,0,0,0,0,,,,,,,,
