Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,195709857205051","0,092742955580312","-0,00845384624519562",0,0,0,"0,126860463488949","4,28779977268862E-05","3,80649713200004E-06","8,53651285175733E-07","7,340816060985E-05","8,80749841963426E-08","9,12591838939789E-05",0,0,0,0,0,0,package://cobraplaca/meshes/base_link.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/base_link.STL,,MontagemModNovo-1/Tampa desalinhada v3.step-1;MontagemModNovo-1/Corpo v10.step-1;MontagemModNovo-1/MG995.step-1;MontagemModNovo-1/Placa sem atrito.step-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
modulo2,"0,0734538226134999","-0,0302379805073669","-0,000787013431708339",0,0,0,"0,126860463488949","4,28779977268861E-05","8,53651285175693E-07","-3,80649713200021E-06","9,12591838939786E-05","-8,80749841966538E-08","7,34081606098496E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo2.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo2.STL,,MontagemModNovo-2/Tampa desalinhada v3.step-1;MontagemModNovo-2/Corpo v10.step-1;MontagemModNovo-2/MG995.step-1;MontagemModNovo-2/Placa sem atrito.step-2,Sistema de coordenadas1,,joint1,revolute,"-0,15473","0,091996","0,021784","1,5708",0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
modulo3,"0,0734538226134999","-0,0302379805073681","-0,000787013431709144",0,0,0,"0,126860463488949","4,2877997726886E-05","8,53651285176095E-07","-3,80649713200003E-06","9,12591838939786E-05","-8,80749841964467E-08","7,34081606098496E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo3.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo3.STL,,MontagemModNovo-3/Tampa desalinhada v3.step-1;MontagemModNovo-3/Corpo v10.step-1;MontagemModNovo-3/MG995.step-1;MontagemModNovo-3/Placa sem atrito.step-2,Sistema de coordenadas2,,joint2,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo2,0,1,0,0,0,0,0,,,,,,,,
modulo4,"0,0734538226135002","-0,0302379805073682","-0,000787013431709144",0,0,0,"0,126860463488949","4,28779977268862E-05","8,5365128517612E-07","-3,80649713200002E-06","9,12591838939787E-05","-8,80749841966049E-08","7,34081606098497E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo4.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo4.STL,,MontagemModNovo-4/Tampa desalinhada v3.step-1;MontagemModNovo-4/Placa sem atrito.step-2;MontagemModNovo-4/Corpo v10.step-1;MontagemModNovo-4/MG995.step-1,Sistema de coordenadas3,,joint3,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo3,0,1,0,0,0,0,0,,,,,,,,
modulo5,"0,0734538226135003","-0,0302379805073677","-0,000787013431708991",0,0,0,"0,126860463488949","4,28779977268861E-05","8,53651285176143E-07","-3,80649713199998E-06","9,12591838939786E-05","-8,80749841971758E-08","7,34081606098495E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo5.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo5.STL,,MontagemModNovo-5/Tampa desalinhada v3.step-1;MontagemModNovo-5/Corpo v10.step-1;MontagemModNovo-5/MG995.step-1;MontagemModNovo-5/Placa sem atrito.step-2,Sistema de coordenadas4,,joint4,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo4,0,1,0,0,0,0,0,,,,,,,,
modulo6,"0,0734538226135001","-0,0302379805073676","-0,000787013431708519",0,0,0,"0,126860463488949","4,28779977268864E-05","8,53651285176032E-07","-3,80649713200028E-06","9,12591838939788E-05","-8,80749841968295E-08","7,34081606098496E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo6.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo6.STL,,MontagemModNovo-6/Tampa desalinhada v3.step-1;MontagemModNovo-6/MG995.step-1;MontagemModNovo-6/Corpo v10.step-1;MontagemModNovo-6/Placa sem atrito.step-2,Sistema de coordenadas7,,joint5,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo5,0,1,0,0,0,0,0,,,,,,,,
modulo7,"0,0734538226310757","-0,0302379805175203","-0,000787013423557262",0,0,0,"0,12686046356913","4,28779977342933E-05","8,53651292587127E-07","-3,80649715127283E-06","9,12591839368407E-05","-8,80749786958792E-08","7,34081606417726E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo7.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo7.STL,,MontagemModNovo-7/Tampa desalinhada v3.step-1;MontagemModNovo-7/Corpo v10.step-1;MontagemModNovo-7/MG995.step-1;MontagemModNovo-7/Placa sem atrito.step-2,Sistema de coordenadas8,,joint6,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo6,0,1,0,0,0,0,0,,,,,,,,
modulo8,"0,0734538226135005","-0,0302379805073673","-0,00078701343170888",0,0,0,"0,126860463488948","4,28779977268855E-05","8,53651285175502E-07","-3,80649713199959E-06","9,12591838939781E-05","-8,80749841966001E-08","7,34081606098496E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo8.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo8.STL,,MontagemModNovo-8/Tampa desalinhada v3.step-1;MontagemModNovo-8/MG995.step-1;MontagemModNovo-8/Corpo v10.step-1;MontagemModNovo-8/Placa sem atrito.step-2,Sistema de coordenadas9,,joint7,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo7,0,1,0,0,0,0,0,,,,,,,,
modulo9,"0,073453822613501","-0,0302379805073671","-0,000787013431709588",0,0,0,"0,126860463488949","4,28779977268857E-05","8,53651285174875E-07","-3,80649713199929E-06","9,12591838939784E-05","-8,80749841950232E-08","7,34081606098507E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo9.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo9.STL,,MontagemModNovo-9/Tampa desalinhada v3.step-1;MontagemModNovo-9/Corpo v10.step-1;MontagemModNovo-9/MG995.step-1;MontagemModNovo-9/Placa sem atrito.step-2,Sistema de coordenadas10,,joint8,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo8,0,1,0,0,0,0,0,,,,,,,,
modulo10,"0,0734538226517683","-0,0302379805294462","-0,000787013408647147",0,0,0,"0,126860463520568","4,28779977437082E-05","8,53651305812829E-07","-3,80649718119433E-06","9,12591839988179E-05","-8,80749708517562E-08","7,34081606770291E-05",0,0,0,0,0,0,package://cobraplaca/meshes/modulo10.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplaca/meshes/modulo10.STL,,MontagemModNovo-10/Tampa desalinhada v3.step-1;MontagemModNovo-10/Corpo v10.step-1;MontagemModNovo-10/MG995.step-1;MontagemModNovo-10/Placa sem atrito.step-2,Sistema de coordenadas11,,joint9,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo9,0,1,0,0,0,0,0,,,,,,,,
