Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,195468136086566","0,0927879878319626","-0,00793201201414247",0,0,0,"0,124413086624717","4,23448485464893E-05","3,83063291554416E-06","8,23488383172931E-07","7,29350491505398E-05","9,869701875599E-08","9,03524202532788E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/base_link.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/base_link.STL,,MontagemModNovo-1/Tampa desalinhada v3.step-1;MontagemModNovo-1/Corpo v10.step-1;MontagemModNovo-1/MG995.step-1;MontagemModNovo-1/Placa de atrito sem meios v3.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
modulo2,"0,073695543731985","-0,0297161462763137","-0,000832045683358956",0,0,0,"0,124413086624717","4,23448485464892E-05","8,23488383172891E-07","-3,83063291554433E-06","9,03524202532786E-05","-9,86970187562984E-08","7,29350491505395E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo2.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo2.STL,,MontagemModNovo-2/Tampa desalinhada v3.step-1;MontagemModNovo-2/Corpo v10.step-1;MontagemModNovo-2/MG995.step-1;MontagemModNovo-2/Placa de atrito sem meios v3.step-1,Sistema de coordenadas1,,joint1,revolute,"-0,15473","0,091996","0,021784","1,5708",0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
modulo3,"0,073695543731985","-0,0297161462763149","-0,000832045683359761",0,0,0,"0,124413086624717","4,23448485464891E-05","8,23488383173288E-07","-3,83063291554415E-06","9,03524202532785E-05","-9,86970187560975E-08","7,29350491505395E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo3.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo3.STL,,MontagemModNovo-3/Tampa desalinhada v3.step-1;MontagemModNovo-3/Corpo v10.step-1;MontagemModNovo-3/MG995.step-1;MontagemModNovo-3/Placa de atrito sem meios v3.step-1,Sistema de coordenadas2,,joint2,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo2,0,1,0,0,0,0,0,,,,,,,,
modulo4,"0,0736955437319853","-0,0297161462763151","-0,000832045683359733",0,0,0,"0,124413086624717","4,23448485464892E-05","8,23488383173316E-07","-3,83063291554414E-06","9,03524202532787E-05","-9,86970187562556E-08","7,29350491505396E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo4.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo4.STL,,MontagemModNovo-4/Tampa desalinhada v3.step-1;MontagemModNovo-4/Corpo v10.step-1;MontagemModNovo-4/MG995.step-1;MontagemModNovo-4/Placa de atrito sem meios v3.step-1,Sistema de coordenadas3,,joint3,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo3,0,1,0,0,0,0,0,,,,,,,,
modulo5,"0,0736955437319854","-0,0297161462763145","-0,000832045683359636",0,0,0,"0,124413086624717","4,23448485464892E-05","8,23488383173337E-07","-3,8306329155441E-06","9,03524202532786E-05","-9,86970187568241E-08","7,29350491505393E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo5.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo5.STL,,MontagemModNovo-5/Tampa desalinhada v3.step-1;MontagemModNovo-5/Corpo v10.step-1;MontagemModNovo-5/MG995.step-1;MontagemModNovo-5/Placa de atrito sem meios v3.step-1,Sistema de coordenadas4,,joint4,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo4,0,1,0,0,0,0,0,,,,,,,,
modulo6,"0,0736955437319853","-0,0297161462763145","-0,000832045683359151",0,0,0,"0,124413086624717","4,23448485464894E-05","8,23488383173228E-07","-3,8306329155444E-06","9,03524202532787E-05","-9,86970187564788E-08","7,29350491505394E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo6.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo6.STL,,MontagemModNovo-6/Tampa desalinhada v3.step-1;MontagemModNovo-6/MG995.step-1;MontagemModNovo-6/Corpo v10.step-1;MontagemModNovo-6/Placa de atrito sem meios v3.step-1,Sistema de coordenadas7,,joint5,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo5,0,1,0,0,0,0,0,,,,,,,,
modulo7,"0,0736955437497508","-0,0297161462870032","-0,000832045675018489",0,0,0,"0,124413086704898","4,23448485538964E-05","8,23488390584322E-07","-3,83063293481694E-06","9,03524202961406E-05","-9,86970132555261E-08","7,29350491824625E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo7.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo7.STL,,MontagemModNovo-7/Tampa desalinhada v3.step-1;MontagemModNovo-7/Corpo v10.step-1;MontagemModNovo-7/MG995.step-1;MontagemModNovo-7/Placa de atrito sem meios v3.step-1,Sistema de coordenadas8,,joint6,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo6,0,1,0,0,0,0,0,,,,,,,,
modulo8,"0,0736955437319856","-0,0297161462763142","-0,000832045683359484",0,0,0,"0,124413086624717","4,23448485464886E-05","8,23488383172699E-07","-3,83063291554371E-06","9,03524202532781E-05","-9,86970187562445E-08","7,29350491505394E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo8.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo8.STL,,MontagemModNovo-8/Tampa desalinhada v3.step-1;MontagemModNovo-8/MG995.step-1;MontagemModNovo-8/Corpo v10.step-1;MontagemModNovo-8/Placa de atrito sem meios v3.step-1,Sistema de coordenadas9,,joint7,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo7,0,1,0,0,0,0,0,,,,,,,,
modulo9,"0,0736955437319861","-0,029716146276314","-0,000832045683360205",0,0,0,"0,124413086624718","4,23448485464887E-05","8,23488383172071E-07","-3,83063291554341E-06","9,03524202532783E-05","-9,86970187546682E-08","7,29350491505405E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo9.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo9.STL,,MontagemModNovo-9/Tampa desalinhada v3.step-1;MontagemModNovo-9/Corpo v10.step-1;MontagemModNovo-9/MG995.step-1;MontagemModNovo-9/Placa de atrito sem meios v3.step-1,Sistema de coordenadas10,,joint8,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo8,0,1,0,0,0,0,0,,,,,,,,
modulo10,"0,0736955437709447","-0,02971614629896","-0,000832045659832664",0,0,0,"0,124413086656336","4,23448485633112E-05","8,23488403810024E-07","-3,83063296473845E-06","9,03524203581178E-05","-9,86970054113995E-08","7,2935049217719E-05",0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo10.STL,"0,627450980392157","0,627450980392157","0,627450980392157",1,0,0,0,0,0,0,package://cobraplacalateral/meshes/modulo10.STL,,MontagemModNovo-10/Tampa desalinhada v3.step-1;MontagemModNovo-10/Corpo v10.step-1;MontagemModNovo-10/MG995.step-1;MontagemModNovo-10/Placa de atrito sem meios v3.step-1,Sistema de coordenadas11,,joint9,revolute,"0,11444",0,"-4,0212E-05",0,0,0,modulo9,0,1,0,0,0,0,0,,,,,,,,
